Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	metatibial posteroventral carina	definition	The metatibial carina that is located in the antero-dorsal region of the metatibia.@en
ERROR	duplicate_definition	metatibial anterodorsal carina	definition	The metatibial carina that is located in the antero-dorsal region of the metatibia.@en
